Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Макогон,Едуард,Петрович,Чоловіча,13.08.1955,Реставратор,хутір Тростянець,"шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 418, Кагарлик, 98162",073 327-62-64,skorobohatkospas@example.com
Козак,Святослава,Михайлівна,Жіноча,29.03.1979,Кінорежисер,хутір Монастириська,"вулиця Степова, буд. 355, Заводське, 67317",+380 84 797-66-50,hunkoliudmyla@example.net
Дашенко,Руслан,Олегович,Чоловіча,16.12.1965,Бібліотекар,хутір Батурин,"вулиця Квітнева, буд. 615, Самбір, 35678",870 02 26,zbebeshko@example.com
Яремчук,Пармен,Андрійович,Чоловіча,25.10.1971,Стропальник,хутір Ватутіне,"набережна Амурська, буд. 9, Монастириська, 62410",101 33 65,sdanylenko@example.com
Литвин,Мирон,Денисович,Чоловіча,08.01.1957,Модель,село Кагарлик,"провулок Магнітогорський 3-й, буд. 086, Гірське, 77455",016 506-20-91,nataliiaiefymenko@example.com
Гриценко,Ілля,Денисович,Чоловіча,07.12.2007,Петрограф,селище Олешки,"сквер Панченка, буд. 9 кв. 31, Городок, 18528",+380 (50) 982-90-03,korzhliliia@example.org
Ярош,Марина,Денисівна,Жіноча,18.04.1969,Математик,село Ходорів,"набережна Капітана Гаврікова, буд. 6 кв. 890, Луцьк, 03469",025 191-13-71,zorianzhurba@example.com
Гаврилець,Ярослав,Іванович,Чоловіча,08.05.1988,Конструктор,селище Вашківці,"набережна Молодіжна, буд. 23, Новоград-Волинський, 82646",725 28 37,levko36@example.com
Гупало,Леонтій,Васильович,Чоловіча,09.11.1989,Різноробочий,село Корець,"сквер Сумський, буд. 2 кв. 2, Устилуг, 35718",+380 01 907-15-47,anzhela17@example.com
Швачко,Едуард,Денисович,Чоловіча,13.11.1978,Співак,село Ірміно,"проспект Восьмого березня 9-й, буд. 837, Переяслав, 63895",535-37-52,galagansymon@example.com
Царенко,Ганна,Андріївна,Жіноча,11.10.1969,Патологоанатом,місто Знам'янка,"шосе Оранжерейний, буд. 49 кв. 93, Українськ, 33551",003 735 92 78,nteslenko@example.com
Бакуменко,Леон,Ярославович,Чоловіча,03.09.1997,Кушнір,місто Знам'янка,"площа Академіка Ясиновського, буд. 24, Кадіївка, 84714",061 219-80-15,bakumenkoleopold@example.com
Ісаєнко,Сніжана,Іванівна,Жіноча,16.08.1989,Астроном,селище Світлодарськ,"набережна Дружний, буд. 80 кв. 514, Боярка, 69051",+380 63 067-78-45,oieresko@example.org
Рева,Амалія,Петрівна,Жіноча,24.02.1980,Кінорежисер,село Переяслав,"шосе Дальницьке, буд. 680, Зугрес, 43265",250-26-66,volodymyrkanivets@example.com
Вернигора,Нестор,Сергійович,Чоловіча,15.05.1955,Бухгалтер,селище Хирів,"вулиця Паустовського, буд. 9, Соледар, 40085",+380 84 289-49-18,lvalenko@example.org
Кибкало,Богодар,Олегович,Чоловіча,09.09.1957,Фрілансер,хутір Хрустальний,"проспект Благовидової, буд. 51 кв. 54, Рівне, 11705",383 04 14,olhamamchur@example.org
Тимченко,Марʼяна,Олегівна,Жіноча,20.09.1989,Бібліограф,село Ужгород,"набережна Приморський, буд. 14, Монастирище, 26786",+380 52 479-64-58,zonufriienko@example.org
Венгринович,Валентина,Сергіївна,Жіноча,23.05.1956,Електромонтажник,хутір Хрустальний,"парк Толбухіна, буд. 645 кв. 415, Зборів, 28749",082 705-66-00,okseniiabaranyk@example.org
Приходько,Володимира,Василівна,Жіноча,04.03.1954,Психолог,місто Новоселиця,"сквер Ямчитського, буд. 42 кв. 0, Рахів, 96256",+380 21 071-50-96,liza39@example.com
Ніколюк,Розалія,Денисівна,Жіноча,24.02.2006,Математик,село Чистякове,"шосе Західний 4-й, буд. 104, Оріхів, 34575",+380 28 925-73-64,ievhenbandera@example.org
Чарниш,Юстина,Ярославівна,Жіноча,15.08.1954,Слідчий,село Камінь-Каширський,"площа Палубна, буд. 096 кв. 51, Дружба , 26148",776-46-04,prokhirmatviienko@example.org
Дробаха,Анастасія,Андріївна,Жіноча,13.05.1995,Дерун,місто Херсон,"набережна Естонський, буд. 34, Ладижин, 47821",+380 (69) 010-55-44,veniiamynperebyinis@example.com
Бабиченко,Марʼяна,Сергіївна,Жіноча,18.06.2003,Астрофізик,село Алушта,"шосе Патріотична, буд. 9 кв. 45, Бердянськ, 43230",030 173-13-75,boleslav57@example.net
Рябовіл,Спас,Ярославович,Чоловіча,13.07.1973,Реабілітолог,хутір Миргород,"провулок Павлодарська, буд. 019 кв. 0, Тараща, 67510",+380 (74) 157-38-90,baranetsmaryna@example.org
Шелест,Богданна,Сергіївна,Жіноча,17.04.1991,Паблік рилейшнз,село Козятин,"парк Набережна, буд. 6 кв. 1, Алмазна, 66780",+380 93 984-35-16,perebyinisklyment@example.org
Гайдай,Єфрем,Андрійович,Чоловіча,31.05.1998,Палеонтолог,село Бар,"проспект Шишкіна, буд. 43, Сіверськ, 85714",005 595 57 00,bohodar08@example.net
Пилипенко,Соломія,Ярославівна,Жіноча,03.02.1994,Астроном,місто Гірник ,"сквер Недєліна, буд. 643, Харків, 10671",+380 (96) 411-20-25,qkovaliuk@example.org
Затовканюк,Еріка,Сергіївна,Жіноча,25.01.1973,Єгер,селище Севастополь,"узвіз Весняна, буд. 79 кв. 4, Красноперекопськ, 42431",+380 64 749-43-06,edyta80@example.com
Асаула,Амалія,Олегівна,Жіноча,30.10.1991,Гірник,місто Пологи ,"узвіз Андреєвського, буд. 9 кв. 29, Дебальцеве, 81029",025 043-94-31,lzhuk@example.org
Чабан,Христина,Іванівна,Жіноча,06.06.1943,Ґрунтознавець,село Копичинці,"шосе Бузкова, буд. 0 кв. 499, Хрустальний, 11477",025 847 93 17,fbabko@example.com
Рева,Мартин,Михайлович,Чоловіча,27.03.1951,Маркетолог,селище Балаклія,"проспект Соляна, буд. 47, Баранівка, 87985",+380 54 396-27-67,batihanton@example.com
Шило,Артем,Васильович,Чоловіча,20.06.1948,Нотаріус,село Прип'ять ,"проспект Спартаківський, буд. 212, Привілля, 05395",041 428-44-53,voblyimariia@example.com
Слюсар,Ірина,Олегівна,Жіноча,28.02.1958,Музикант,село Ізюм,"сквер Водопровідний 2-й, буд. 9 кв. 707, П'ятихатки, 54853",095 915 26 80,olenatereshchuk@example.org
Ґалаґан,Ілля,Олегович,Чоловіча,21.08.1992,Співак,селище Судова Вишня,"узвіз Каштанова, буд. 92 кв. 6, Острог, 76303",+380 03 435-41-51,okhrymovychnataliia@example.org
Адаменко,Олена,Іванівна,Жіноча,12.08.1939,Хімік,селище Сіверськ,"вулиця Проїзний 1-й, буд. 56 кв. 68, Скалат, 83200",+380 26 095 45 00,aivanenko@example.org
Романець,Панас,Васильович,Чоловіча,01.05.1975,Публіцист,селище Лохвиця,"площа Маковий, буд. 094, Вишгород, 95139",034 717 53 94,iustyna62@example.net
Вакарчук,Володимир,Денисович,Чоловіча,22.05.1957,Живописець,хутір Ізюм,"парк Аеропортівська, буд. 161, Павлоград, 47652",718 35 11,havrylivnestor@example.net
Андрусенко,Лукʼян,Сергійович,Чоловіча,31.03.1977,Єгер,селище Бобринець,"узвіз Ашгабатська, буд. 29 кв. 308, Семенівка, 85916",+380 (35) 210-84-37,fchornovil@example.net
Василевич,Ярема,Андрійович,Чоловіча,19.06.1977,Флорист,місто Здолбунів,"вулиця Спортивна, буд. 12, Хорол , 16738",+380 20 294 39 41,vasylevychalbert@example.org
Оробець,Єва,Ярославівна,Жіноча,14.04.2002,Мистецтвознавець,місто Брянка,"проспект Лугова, буд. 295, Калинівка , 25452",+380 (21) 584-17-19,illia81@example.org
Михайлюк,Ірена,Андріївна,Жіноча,15.03.2002,Математик,хутір Красногорівка,"провулок Студентський 5-й, буд. 11 кв. 39, Шпола, 44900",333-50-37,shapovaldmytro@example.net
Палій,Лілія,Ярославівна,Жіноча,01.11.1967,Музикант,селище Карлівка,"парк Проектований 3-й, буд. 993, Кропивницький, 01563",511-98-87,mlavrenko@example.net
Бевзенко,Богуслава,Олегівна,Жіноча,03.03.1958,Ріелтор,хутір Новодністровськ,"сквер Льва Симиренка, буд. 12, Берислав, 75817",+380 37 880 87 06,iesypenkoviktoriia@example.org
Дробаха,Володимир,Сергійович,Чоловіча,17.02.1976,Історик,місто Ічня,"набережна Шилова, буд. 3, Вільнянськ, 67321",283-26-74,boryslaviaremkiv@example.net
Шутько,Марина,Іванівна,Жіноча,25.11.1964,Кінолог,місто Берегове,"узвіз Спортивна, буд. 83 кв. 23, Чигирин, 29383",677 00 63,babramenko@example.com
Александренко,Маруся,Іванівна,Жіноча,08.01.1940,Няня,місто Слов'янськ,"провулок Академіка Філатова, буд. 0 кв. 05, Красилів, 01678",098 962-80-80,ielyseikolisnychenko@example.com
Яремчук,Пилип,Ярославович,Чоловіча,29.07.1980,Агроном,місто Борщів,"сквер Тепла, буд. 330, Люботин, 87706",+380 38 840-25-12,skorobohatkofrants@example.net
Дробаха,Трохим,Михайлович,Чоловіча,07.02.1973,Архітектор,селище Ківерці,"набережна Солонцюватий 1-й, буд. 5 кв. 2, Кременець, 93740",077 429 57 44,darynademianenko@example.com
Лагода,Златослава,Іванівна,Жіноча,15.10.1967,Краєзнавець,місто Буськ,"шосе Героїв Крут, буд. 568, Гола Пристань, 40059",+380 38 588-98-05,viacheslavdankiv@example.com
Шаблій,Христина,Ярославівна,Жіноча,03.06.2000,Доцент,хутір Бершадь,"проспект Канатний, буд. 376, Рахів, 22223",+380 84 458-20-54,zbaidak@example.com
Охріменко,Петро,Петрович,Чоловіча,24.11.1940,Гірник,село Сорокине,"площа Травневий 5-й, буд. 96, Лисичанськ, 31797",016 733-85-69,eduarddrobakha@example.net
Вертипорох,Софія,Артемівна,Жіноча,29.03.1960,Журналіст,місто Коростень,"проспект Західний 1-й, буд. 5 кв. 2, Гірник , 67518",066 898 66 59,vvertyporokh@example.com
Червоненко,Оксана,Михайлівна,Жіноча,22.08.1960,Етнограф,місто Рогатин,"парк Прохоровська, буд. 67, Жовква, 71978",+380 (07) 837-85-49,boryslavkabaliuk@example.net
Конопленко,Пантелеймон,Петрович,Чоловіча,23.10.1994,Диригент,місто Нововолинськ,"провулок Виноградна 3-тя, буд. 9 кв. 0, Приморськ (Україна), 99123",+380 43 712 03 83,viacheslav08@example.com
Теличенко,Орест,Михайлович,Чоловіча,26.07.1946,Реабілітолог,село Вуглегірськ,"проспект Польова, буд. 2 кв. 2, Волочиськ, 12087",071 068 83 63,ielysaveta51@example.org
Оніщук,Емілія,Денисівна,Жіноча,11.09.1947,Сценарист,селище Селидове,"проспект Мариністів, буд. 791 кв. 4, Вашківці, 64960",589 31 99,ikozak@example.net
Тимченко,Христина,Михайлівна,Жіноча,13.04.1952,Локсмайстер,селище Новодружеськ,"узвіз Лиманчик 2-й Лінія 8-ма, буд. 53 кв. 4, Немирів, 13412",+380 79 271-70-49,halynababii@example.org
Бандура,Галина,Михайлівна,Жіноча,21.03.1998,Літературознавець,селище Хмільник,"площа Лінія 35-та, буд. 267, Прип'ять , 20184",+380 78 437-04-83,xavramenko@example.com
Баран,Валентина,Іванівна,Жіноча,05.09.1963,Швачка,село Кременець,"парк Сільська, буд. 66 кв. 02, Ірміно, 56035",083 08 08,shtepalevko@example.net
Архимович,Максим,Ярославович,Чоловіча,25.10.1955,Антрополог,селище Березівка,"площа Красносільська, буд. 2, Рівне, 93679",904-49-57,symonierchenko@example.com
Шухевич,Віктор,Ярославович,Чоловіча,11.02.1949,Секретар,село Стрий,"проспект Ціолковського, буд. 7 кв. 474, Сіверськ, 48072",009 618 15 13,oliinykzorian@example.org
Дутка,Василь,Васильович,Чоловіча,24.02.1973,Художник,хутір Бахмут,"узвіз Кришталевий, буд. 285 кв. 0, Жовква, 42943",+380 51 191 78 41,martaskyba@example.net
Чуприна,Тетяна,Олегівна,Жіноча,08.10.1993,Математик,село Зугрес,"сквер Свободи, буд. 66, Почаїв, 88637",889-31-26,fabramchuk@example.org
Салій,Богданна,Михайлівна,Жіноча,14.01.1998,Кіноактор,село Бершадь,"вулиця Кругова, буд. 0 кв. 60, Ясинувата, 69457",023 552 22 57,qvoblyi@example.net
Луценко,Ада,Петрівна,Жіноча,23.05.1952,Геофізик,хутір Ялта,"шосе Деревообробний 1-й, буд. 570, Южне, 91331",+380 (19) 977-60-33,dmytrodubenko@example.com
